CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
1831      0.1010  74        0.0889  30        0.0694  libjvm.so                ThreadInVMfromNative::~ThreadInVMfromNative()
1821      0.1005  96        0.1153  49        0.1134  vmlinux                  __domain_mapping
1820      0.1004  62        0.0745  39        0.0903  vmlinux                  dmar_disable_qi
1817      0.1003  109       0.1310  46        0.1065  libpthread-2.12.so       __pthread_enable_asynccancel
1815      0.1002  86        0.1033  35        0.0810  vmlinux                  fib_inetaddr_event
1797      0.0992  91        0.1093  29        0.0671  vmlinux                  prof_sysenter_enable__epoll_wait
1789      0.0987  111       0.1334  271       0.6272  libjvm.so                nmethod::fix_oop_relocations(unsigned char*, unsigned char*, bool)
1783      0.0984  68        0.0817  47        0.1088  vmlinux                  rt_fill_info.clone.0
1780      0.0982  69        0.0829  34        0.0787  vmlinux                  find_busiest_queue
1776      0.0980  69        0.0829  38        0.0879  vmlinux                  cpu_attach_domain
1776      0.0980  79        0.0949  51        0.1180  vmlinux                  sys_fchmodat
1769      0.0976  69        0.0829  31        0.0717  vmlinux                  dquot_initialize
1766      0.0975  69        0.0829  24        0.0555  libnio.so                Java_sun_nio_ch_EPollArrayWrapper_epollCtl
1758      0.0970  62        0.0745  37        0.0856  vmlinux                  ftrace_replace_code
1752      0.0967  136       0.1634  58        0.1342  libjvm.so                PhaseIdealLoop::Dominators()
1748      0.0965  56        0.0673  35        0.0810  vmlinux                  init_exit__ssetmask
1746      0.0964  80        0.0961  37        0.0856  vmlinux                  account_cfs_rq_runtime
1740      0.0960  99        0.1189  37        0.0856  vmlinux                  compat_sys_ppoll
1735      0.0957  71        0.0853  31        0.0717  vmlinux                  xfrm_input
1731      0.0955  66        0.0793  34        0.0787  vmlinux                  print_trace_header
